Feature,Category
UID,subject
Visit,subject
Diag,demographics
Gender,demographics
Age_at_speech_Ax,demographics
Years_since_diagnosis,demographics
mnpitch_ac,pitch
sdpitch_ac,pitch
pitchjmp_ac,pitch
pitchjmp90ptile_ac,pitch
semitone_med,pitch
semitone_iqr,pitch
semitone_range,pitch
semitoneSD,pitch
PPE,pitch
num_voice_breaks,pitch
jit_local,pitch
jit_localabs,pitch
jit_rap,pitch
jit_ppq5,pitch
jit_ddp,pitch
sh_local,amplitude_variability
sh_localdB,amplitude_variability
sh_apq5,amplitude_variability
sh_dda,amplitude_variability
rmsdB_mean,amplitude
rmsdB_sd,amplitude
rmsdB_iqr,amplitude
rmsdB_iqrnorm,amplitude
melcc2_mn,clarity
melcc2_sd,clarity
spec_flat_mean,spectral_structure 
spec_flat_sd,spectral_structure 
spec_flat_iqr,spectral_structure 
spec_flat_iqrnorm,spectral_structure 
contrst_0_100_mean,spectral_structure 
contrst_0_100_sd,spectral_structure 
contrst_0_100_iqr,spectral_structure 
contrst_0_100_iqrnorm,spectral_structure 
contrst_100_200_mean,spectral_structure 
contrst_100_200_sd,spectral_structure 
contrst_100_200_iqr,spectral_structure 
contrst_100_200_iqrnorm,spectral_structure 
contrst_200_400_mean,spectral_structure 
contrst_200_400_sd,spectral_structure 
contrst_200_400_iqr,spectral_structure 
contrst_200_400_iqrnorm,spectral_structure 
contrst_400_800_mean,spectral_structure 
contrst_400_800_sd,spectral_structure 
contrst_400_800_iqr,spectral_structure 
contrst_400_800_iqrnorm,spectral_structure 
contrst_800_1600_mean,spectral_structure 
contrst_800_1600_sd,spectral_structure 
contrst_800_1600_iqr,spectral_structure 
contrst_800_1600_iqrnorm,spectral_structure 
contrst_1600_3200_mean,spectral_structure 
contrst_1600_3200_sd,spectral_structure 
contrst_1600_3200_iqr,spectral_structure 
contrst_1600_3200_iqrnorm,spectral_structure 
contrst_3200_6400_mean,spectral_structure 
contrst_3200_6400_sd,spectral_structure 
contrst_3200_6400_iqr,spectral_structure 
contrst_3200_6400_iqrnorm,spectral_structure 
harmonicity_mean,clarity
harmonicity_sd,clarity
cpp_mean,clarity
cpp_sd,clarity
cpp_med,clarity
cpp_iqr,clarity
cpps_entirewv,clarity
dfa_alpha,spectral_structure 
frac_voiced,timing
frac_silent,timing
frac_voiced_of_nonsilent,timing
dur,timing
total_time,timing
phonationtime,timing
pause_total_time,timing
pause_frac,timing
num_pauses,timing
pause_len_mean,timing
pause_len_std,timing
pause_median,timing
pause_iqr,timing
num_syll,timing
syl_speakingrate,timing
syl_articulationrate,timing
syl_avg_duration,timing
syl_median_spacing,timing
syl_iqr_spacing,timing
numClipped,data_quality
est_snr_dB,data_quality
noise_dB,data_quality
SOURCE,other
seg_method,other
file,other
adjective_rate,parts_of_speech
adposition_rate,parts_of_speech
adverb_rate,parts_of_speech
auxiliary_rate,parts_of_speech
determiner_rate,parts_of_speech
interjection_rate,parts_of_speech
noun_rate,parts_of_speech
numeral_rate,parts_of_speech
particle_rate,parts_of_speech
pronoun_rate,parts_of_speech
proper_noun_rate,parts_of_speech
punctuation_rate,parts_of_speech
subordinating_conjunction_rate,parts_of_speech
symbol_rate,parts_of_speech
verb_rate,parts_of_speech
demonstrative_rate,parts_of_speech
conjunction_rate,parts_of_speech
possessive_rate,parts_of_speech
noun_verb_ratio,parts_of_speech
noun_ratio,parts_of_speech
pronoun_noun_ratio,parts_of_speech
total_dependency_distance,linguistic_complexity
average_dependency_distance,linguistic_complexity
total_dependencies,linguistic_complexity
average_dependencies,linguistic_complexity
closed_class_word_rate,linguistic_complexity
open_class_word_rate,linguistic_complexity
content_density,linguistic_complexity
idea_density,linguistic_complexity
honore_statistic,linguistic_complexity
brunet_index,linguistic_complexity
type_token_ratio,linguistic_complexity
word_length,linguistic_complexity
prop_inflected_verbs,linguistic_complexity
prop_auxiliary_verbs,linguistic_complexity
prop_gerund_verbs,linguistic_complexity
prop_participles,linguistic_complexity
num_words,linguistic_complexity
filler_rate,parts_of_speech